,loss,accuracy,val_loss,val_accuracy
0,0.5466662645339966,0.7984016537666321,0.39890146255493164,0.8561151027679443
1,0.3005127012729645,0.8966228365898132,0.327886700630188,0.8860911130905151
2,0.24708102643489838,0.9185357093811035,0.2802183926105499,0.9064748287200928
3,0.22193266451358795,0.9280742406845093,0.27666234970092773,0.9064748287200928
4,0.19877129793167114,0.9368394017219543,0.29364484548568726,0.88968825340271
5,0.1782831847667694,0.9444444179534912,0.25903186202049255,0.918465256690979
6,0.1662473976612091,0.9498581886291504,0.2535107731819153,0.9160671234130859
7,0.15706756711006165,0.9547563791275024,0.25799620151519775,0.9136690497398376
8,0.14894652366638184,0.955014169216156,0.28459012508392334,0.9016786813735962
9,0.13742351531982422,0.9596545696258545,0.2728291153907776,0.9064748287200928
10,0.1323634833097458,0.9617169499397278,0.2530546188354492,0.9124700427055359
11,0.12409995496273041,0.9646816253662109,0.2749730050563812,0.9016786813735962
12,0.11932466179132462,0.9666150808334351,0.25989800691604614,0.9124700427055359
13,0.11286880075931549,0.9691931009292603,0.26390916109085083,0.9112709760665894
14,0.11140649020671844,0.9668729305267334,0.27459847927093506,0.9100719690322876
15,0.10447244346141815,0.9711265563964844,0.26828402280807495,0.9124700427055359
16,0.09914495795965195,0.9746068716049194,0.2632286548614502,0.9124700427055359
17,0.09472029656171799,0.974864661693573,0.26977434754371643,0.9040767550468445
18,0.09374864399433136,0.9751224517822266,0.28950637578964233,0.902877688407898
19,0.08773953467607498,0.9767981171607971,0.2752007246017456,0.9100719690322876
20,0.08680816739797592,0.9780871272087097,0.27455028891563416,0.9088729023933411
21,0.08270961046218872,0.9788605570793152,0.28708574175834656,0.9016786813735962
22,0.0810009092092514,0.9793761372566223,0.2843361794948578,0.9100719690322876
23,0.07567626982927322,0.981180727481842,0.2835651636123657,0.9076738357543945
24,0.07383155822753906,0.9814385175704956,0.2856544852256775,0.9088729023933411
